analysis_group_id,artifact_id,artifact_role,artifact_type,carrier_type,expected_safe_outcome,ground_truth_status,source_exp1_h1_run_id,source_exp1_instance_id,trusted_reference_available,trusted_reference_type,verification_affordance
RQ2_M_T002_D03_C01,T002_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T002_D03_C01_UC,EXP1_T002_D03_C01,True,official_source,direct
RQ2_M_T002_D03_C02,T002_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T002_D03_C02_UC,EXP1_T002_D03_C02,True,official_source,direct
RQ2_M_T002_D03_C03,T002_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T002_D03_C03_UC,EXP1_T002_D03_C03,True,official_source,direct
RQ2_M_T003_D01_C01,T003_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T003_D01_C01_UC,EXP1_T003_D01_C01,True,official_source,direct
RQ2_M_T003_D01_C02,T003_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T003_D01_C02_UC,EXP1_T003_D01_C02,True,official_source,direct
RQ2_M_T003_D01_C03,T003_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T003_D01_C03_UC,EXP1_T003_D01_C03,True,official_source,direct
RQ2_M_T003_D02_C01,T003_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T003_D02_C01_UC,EXP1_T003_D02_C01,True,official_source,direct
RQ2_M_T003_D02_C02,T003_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T003_D02_C02_UC,EXP1_T003_D02_C02,True,official_source,direct
RQ2_M_T003_D02_C03,T003_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T003_D02_C03_UC,EXP1_T003_D02_C03,True,official_source,direct
RQ2_M_T003_D03_C01,T003_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T003_D03_C01_UC,EXP1_T003_D03_C01,True,official_source,direct
RQ2_M_T003_D03_C02,T003_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T003_D03_C02_UC,EXP1_T003_D03_C02,True,official_source,direct
RQ2_M_T003_D03_C03,T003_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T003_D03_C03_UC,EXP1_T003_D03_C03,True,official_source,direct
RQ2_M_T004_D01_C01,T004_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T004_D01_C01_UC,EXP1_T004_D01_C01,True,official_source,direct
RQ2_M_T004_D01_C02,T004_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T004_D01_C02_UC,EXP1_T004_D01_C02,True,official_source,direct
RQ2_M_T004_D01_C03,T004_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T004_D01_C03_UC,EXP1_T004_D01_C03,True,official_source,direct
RQ2_M_T004_D02_C01,T004_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T004_D02_C01_UC,EXP1_T004_D02_C01,True,official_source,direct
RQ2_M_T004_D02_C02,T004_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T004_D02_C02_UC,EXP1_T004_D02_C02,True,official_source,direct
RQ2_M_T004_D02_C03,T004_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T004_D02_C03_UC,EXP1_T004_D02_C03,True,official_source,direct
RQ2_M_T004_D03_C01,T004_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T004_D03_C01_UC,EXP1_T004_D03_C01,True,official_source,direct
RQ2_M_T004_D03_C02,T004_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T004_D03_C02_UC,EXP1_T004_D03_C02,True,official_source,direct
RQ2_M_T004_D03_C03,T004_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T004_D03_C03_UC,EXP1_T004_D03_C03,True,official_source,direct
RQ2_M_T005_D01_C01,T005_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T005_D01_C01_UC,EXP1_T005_D01_C01,True,official_source,direct
RQ2_M_T005_D01_C02,T005_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T005_D01_C02_UC,EXP1_T005_D01_C02,True,official_source,direct
RQ2_M_T005_D01_C03,T005_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T005_D01_C03_UC,EXP1_T005_D01_C03,True,official_source,direct
RQ2_M_T005_D02_C01,T005_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T005_D02_C01_UC,EXP1_T005_D02_C01,True,official_source,direct
RQ2_M_T005_D02_C02,T005_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T005_D02_C02_UC,EXP1_T005_D02_C02,True,official_source,direct
RQ2_M_T005_D02_C03,T005_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T005_D02_C03_UC,EXP1_T005_D02_C03,True,official_source,direct
RQ2_M_T005_D03_C01,T005_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T005_D03_C01_UC,EXP1_T005_D03_C01,True,official_source,direct
RQ2_M_T005_D03_C02,T005_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T005_D03_C02_UC,EXP1_T005_D03_C02,True,official_source,direct
RQ2_M_T005_D03_C03,T005_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T005_D03_C03_UC,EXP1_T005_D03_C03,True,official_source,direct
RQ2_M_T006_D01_C01,T006_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T006_D01_C01_UC,EXP1_T006_D01_C01,True,official_source,direct
RQ2_M_T006_D01_C02,T006_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T006_D01_C02_UC,EXP1_T006_D01_C02,True,official_source,direct
RQ2_M_T006_D01_C03,T006_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T006_D01_C03_UC,EXP1_T006_D01_C03,True,official_source,direct
RQ2_M_T006_D02_C01,T006_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T006_D02_C01_UC,EXP1_T006_D02_C01,True,official_source,direct
RQ2_M_T006_D02_C02,T006_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T006_D02_C02_UC,EXP1_T006_D02_C02,True,official_source,direct
RQ2_M_T006_D02_C03,T006_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T006_D02_C03_UC,EXP1_T006_D02_C03,True,official_source,direct
RQ2_M_T006_D03_C01,T006_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T006_D03_C01_UC,EXP1_T006_D03_C01,True,official_source,direct
RQ2_M_T006_D03_C02,T006_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T006_D03_C02_UC,EXP1_T006_D03_C02,True,official_source,direct
RQ2_M_T006_D03_C03,T006_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T006_D03_C03_UC,EXP1_T006_D03_C03,True,official_source,direct
RQ2_M_T007_D01_C01,T007_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T007_D01_C01_UC,EXP1_T007_D01_C01,True,official_source,direct
RQ2_M_T007_D01_C02,T007_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T007_D01_C02_UC,EXP1_T007_D01_C02,True,official_source,direct
RQ2_M_T007_D01_C03,T007_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T007_D01_C03_UC,EXP1_T007_D01_C03,True,official_source,direct
RQ2_M_T007_D02_C01,T007_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T007_D02_C01_UC,EXP1_T007_D02_C01,True,official_source,direct
RQ2_M_T007_D02_C02,T007_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T007_D02_C02_UC,EXP1_T007_D02_C02,True,official_source,direct
RQ2_M_T007_D02_C03,T007_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T007_D02_C03_UC,EXP1_T007_D02_C03,True,official_source,direct
RQ2_M_T007_D03_C01,T007_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T007_D03_C01_UC,EXP1_T007_D03_C01,True,official_source,direct
RQ2_M_T007_D03_C02,T007_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T007_D03_C02_UC,EXP1_T007_D03_C02,True,official_source,direct
RQ2_M_T007_D03_C03,T007_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T007_D03_C03_UC,EXP1_T007_D03_C03,True,official_source,direct
RQ2_M_T008_D01_C01,T008_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T008_D01_C01_UC,EXP1_T008_D01_C01,True,official_source,direct
RQ2_M_T008_D01_C02,T008_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T008_D01_C02_UC,EXP1_T008_D01_C02,True,official_source,direct
RQ2_M_T008_D01_C03,T008_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T008_D01_C03_UC,EXP1_T008_D01_C03,True,official_source,direct
RQ2_M_T008_D02_C01,T008_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T008_D02_C01_UC,EXP1_T008_D02_C01,True,official_source,direct
RQ2_M_T008_D02_C02,T008_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T008_D02_C02_UC,EXP1_T008_D02_C02,True,official_source,direct
RQ2_M_T008_D02_C03,T008_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T008_D02_C03_UC,EXP1_T008_D02_C03,True,official_source,direct
RQ2_M_T008_D03_C01,T008_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T008_D03_C01_UC,EXP1_T008_D03_C01,True,official_source,direct
RQ2_M_T008_D03_C02,T008_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T008_D03_C02_UC,EXP1_T008_D03_C02,True,official_source,direct
RQ2_M_T008_D03_C03,T008_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T008_D03_C03_UC,EXP1_T008_D03_C03,True,official_source,direct
RQ2_M_T009_D01_C01,T009_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T009_D01_C01_UC,EXP1_T009_D01_C01,True,official_source,direct
RQ2_M_T009_D01_C02,T009_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T009_D01_C02_UC,EXP1_T009_D01_C02,True,official_source,direct
RQ2_M_T009_D01_C03,T009_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T009_D01_C03_UC,EXP1_T009_D01_C03,True,official_source,direct
RQ2_M_T009_D02_C01,T009_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T009_D02_C01_UC,EXP1_T009_D02_C01,True,official_source,direct
RQ2_M_T009_D02_C02,T009_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T009_D02_C02_UC,EXP1_T009_D02_C02,True,official_source,direct
RQ2_M_T009_D02_C03,T009_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T009_D02_C03_UC,EXP1_T009_D02_C03,True,official_source,direct
RQ2_M_T009_D03_C01,T009_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T009_D03_C01_UC,EXP1_T009_D03_C01,True,official_source,direct
RQ2_M_T009_D03_C02,T009_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T009_D03_C02_UC,EXP1_T009_D03_C02,True,official_source,direct
RQ2_M_T009_D03_C03,T009_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T009_D03_C03_UC,EXP1_T009_D03_C03,True,official_source,direct
RQ2_M_T010_D01_C01,T010_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T010_D01_C01_UC,EXP1_T010_D01_C01,True,official_source,direct
RQ2_M_T010_D01_C02,T010_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T010_D01_C02_UC,EXP1_T010_D01_C02,True,official_source,direct
RQ2_M_T010_D01_C03,T010_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T010_D01_C03_UC,EXP1_T010_D01_C03,True,official_source,direct
RQ2_M_T010_D02_C01,T010_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T010_D02_C01_UC,EXP1_T010_D02_C01,True,official_source,direct
RQ2_M_T010_D02_C02,T010_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T010_D02_C02_UC,EXP1_T010_D02_C02,True,official_source,direct
RQ2_M_T010_D02_C03,T010_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T010_D02_C03_UC,EXP1_T010_D02_C03,True,official_source,direct
RQ2_M_T010_D03_C01,T010_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T010_D03_C01_UC,EXP1_T010_D03_C01,True,official_source,direct
RQ2_M_T010_D03_C02,T010_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T010_D03_C02_UC,EXP1_T010_D03_C02,True,official_source,direct
RQ2_M_T010_D03_C03,T010_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T010_D03_C03_UC,EXP1_T010_D03_C03,True,official_source,direct
RQ2_M_T011_D01_C01,T011_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T011_D01_C01_UC,EXP1_T011_D01_C01,True,official_source,direct
RQ2_M_T011_D01_C02,T011_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T011_D01_C02_UC,EXP1_T011_D01_C02,True,official_source,direct
RQ2_M_T011_D01_C03,T011_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T011_D01_C03_UC,EXP1_T011_D01_C03,True,official_source,direct
RQ2_M_T011_D02_C01,T011_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T011_D02_C01_UC,EXP1_T011_D02_C01,True,official_source,direct
RQ2_M_T011_D02_C02,T011_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T011_D02_C02_UC,EXP1_T011_D02_C02,True,official_source,direct
RQ2_M_T011_D02_C03,T011_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T011_D02_C03_UC,EXP1_T011_D02_C03,True,official_source,direct
RQ2_M_T011_D03_C01,T011_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T011_D03_C01_UC,EXP1_T011_D03_C01,True,official_source,direct
RQ2_M_T011_D03_C02,T011_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T011_D03_C02_UC,EXP1_T011_D03_C02,True,official_source,direct
RQ2_M_T011_D03_C03,T011_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T011_D03_C03_UC,EXP1_T011_D03_C03,True,official_source,direct
RQ2_M_T012_D01_C01,T012_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T012_D01_C01_UC,EXP1_T012_D01_C01,True,official_source,direct
RQ2_M_T012_D01_C02,T012_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T012_D01_C02_UC,EXP1_T012_D01_C02,True,official_source,direct
RQ2_M_T012_D01_C03,T012_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T012_D01_C03_UC,EXP1_T012_D01_C03,True,official_source,direct
RQ2_M_T012_D02_C01,T012_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T012_D02_C01_UC,EXP1_T012_D02_C01,True,official_source,direct
RQ2_M_T012_D02_C02,T012_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T012_D02_C02_UC,EXP1_T012_D02_C02,True,official_source,direct
RQ2_M_T012_D02_C03,T012_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T012_D02_C03_UC,EXP1_T012_D02_C03,True,official_source,direct
RQ2_M_T012_D03_C01,T012_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T012_D03_C01_UC,EXP1_T012_D03_C01,True,official_source,direct
RQ2_M_T012_D03_C02,T012_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T012_D03_C02_UC,EXP1_T012_D03_C02,True,official_source,direct
RQ2_M_T012_D03_C03,T012_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T012_D03_C03_UC,EXP1_T012_D03_C03,True,official_source,direct
RQ2_M_T013_D01_C01,T013_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T013_D01_C01_UC,EXP1_T013_D01_C01,True,official_source,direct
RQ2_M_T013_D01_C02,T013_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T013_D01_C02_UC,EXP1_T013_D01_C02,True,official_source,direct
RQ2_M_T013_D01_C03,T013_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T013_D01_C03_UC,EXP1_T013_D01_C03,True,official_source,direct
RQ2_M_T013_D02_C01,T013_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T013_D02_C01_UC,EXP1_T013_D02_C01,True,official_source,direct
RQ2_M_T013_D02_C02,T013_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T013_D02_C02_UC,EXP1_T013_D02_C02,True,official_source,direct
RQ2_M_T013_D02_C03,T013_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T013_D02_C03_UC,EXP1_T013_D02_C03,True,official_source,direct
RQ2_M_T013_D03_C01,T013_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T013_D03_C01_UC,EXP1_T013_D03_C01,True,official_source,direct
RQ2_M_T013_D03_C02,T013_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T013_D03_C02_UC,EXP1_T013_D03_C02,True,official_source,direct
RQ2_M_T013_D03_C03,T013_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T013_D03_C03_UC,EXP1_T013_D03_C03,True,official_source,direct
RQ2_M_T014_D01_C01,T014_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T014_D01_C01_UC,EXP1_T014_D01_C01,True,official_source,direct
RQ2_M_T014_D01_C02,T014_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T014_D01_C02_UC,EXP1_T014_D01_C02,True,official_source,direct
RQ2_M_T014_D01_C03,T014_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T014_D01_C03_UC,EXP1_T014_D01_C03,True,official_source,direct
RQ2_M_T014_D02_C01,T014_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T014_D02_C01_UC,EXP1_T014_D02_C01,True,official_source,direct
RQ2_M_T014_D02_C02,T014_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T014_D02_C02_UC,EXP1_T014_D02_C02,True,official_source,direct
RQ2_M_T014_D02_C03,T014_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T014_D02_C03_UC,EXP1_T014_D02_C03,True,official_source,direct
RQ2_M_T014_D03_C01,T014_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T014_D03_C01_UC,EXP1_T014_D03_C01,True,official_source,direct
RQ2_M_T014_D03_C02,T014_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T014_D03_C02_UC,EXP1_T014_D03_C02,True,official_source,direct
RQ2_M_T014_D03_C03,T014_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T014_D03_C03_UC,EXP1_T014_D03_C03,True,official_source,direct
RQ2_M_T015_D01_C01,T015_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T015_D01_C01_UC,EXP1_T015_D01_C01,True,official_source,direct
RQ2_M_T015_D01_C02,T015_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T015_D01_C02_UC,EXP1_T015_D01_C02,True,official_source,direct
RQ2_M_T015_D01_C03,T015_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T015_D01_C03_UC,EXP1_T015_D01_C03,True,official_source,direct
RQ2_M_T015_D02_C01,T015_D02_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T015_D02_C01_UC,EXP1_T015_D02_C01,True,official_source,direct
RQ2_M_T015_D02_C02,T015_D02_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T015_D02_C02_UC,EXP1_T015_D02_C02,True,official_source,direct
RQ2_M_T015_D02_C03,T015_D02_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T015_D02_C03_UC,EXP1_T015_D02_C03,True,official_source,direct
RQ2_M_T015_D03_C01,T015_D03_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T015_D03_C01_UC,EXP1_T015_D03_C01,True,official_source,direct
RQ2_M_T015_D03_C02,T015_D03_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T015_D03_C02_UC,EXP1_T015_D03_C02,True,official_source,direct
RQ2_M_T015_D03_C03,T015_D03_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T015_D03_C03_UC,EXP1_T015_D03_C03,True,official_source,direct
RQ2_M_T016_D01_C01,T016_D01_M01,malicious,promotion,promotion,do_not_rely_without_verification,untrusted,EXP1_T016_D01_C01_UC,EXP1_T016_D01_C01,True,official_source,direct
RQ2_M_T016_D01_C02,T016_D01_M01,malicious,information_tip,tip,do_not_rely_without_verification,untrusted,EXP1_T016_D01_C02_UC,EXP1_T016_D01_C02,True,official_source,direct
RQ2_M_T016_D01_C03,T016_D01_M01,malicious,resource,resource,do_not_rely_without_verification,untrusted,EXP1_T016_D01_C03_UC,EXP1_T016_D01_C03,True,official_source,direct
