analysis_group_id,arm,transition
RQ2_M_T009_D01_C03,malicious,H1:M -> H2:BM -> H3:BM
RQ2_M_T009_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T009_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T009_D02_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T009_D03_C01,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T009_D03_C02,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T009_D03_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T010_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T010_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T010_D01_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T010_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T010_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T010_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T010_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T010_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T010_D03_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T011_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T011_D01_C02,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T011_D01_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T011_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T011_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T011_D02_C03,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T011_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T011_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T011_D03_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T012_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T012_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T012_D01_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T012_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T012_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T012_D02_C03,malicious,H1:M -> H2:BM -> H3:BM
RQ2_M_T012_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T012_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T012_D03_C03,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T013_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T013_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T013_D01_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T013_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T013_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T013_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T013_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T013_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T013_D03_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T014_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T014_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T014_D01_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T014_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T014_D02_C02,malicious,H1:M -> H2:None -> H3:None
RQ2_M_T014_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T014_D03_C01,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T014_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T014_D03_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T015_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T015_D01_C02,malicious,H1:None -> H2:M -> H3:M
RQ2_M_T015_D01_C03,malicious,H1:M -> H2:BM -> H3:BM
RQ2_M_T015_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T015_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T015_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T015_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T015_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T015_D03_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T016_D01_C01,malicious,H1:None -> H2:M -> H3:M
RQ2_M_T016_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T016_D01_C03,malicious,H1:None -> H2:None -> H3:BM
RQ2_M_T016_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T016_D02_C02,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T016_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T016_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T016_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T016_D03_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T017_D01_C01,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T017_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T017_D01_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T017_D02_C01,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T017_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T017_D02_C03,malicious,H1:M -> H2:BM -> H3:BM
RQ2_M_T017_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T017_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T017_D03_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T018_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T018_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T018_D01_C03,malicious,H1:M -> H2:None -> H3:BM
RQ2_M_T018_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T018_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T018_D02_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T018_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T018_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T018_D03_C03,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T019_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T019_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T019_D01_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T019_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T019_D02_C02,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T019_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T019_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T019_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T019_D03_C03,malicious,H1:M -> H2:BM -> H3:M
