artifact_set_id,base_task_id,benign_matched_id,benign_weak_id,candidate_order,carrier_id,clean_run_id,desire_id,external_run_id,malicious_artifact_id,pair_id,seed,user_context_run_id
T004_D02_ASET01,user_task_12,T004_D02_BM01,T004_D02_BW01,"[""T004_D02_BM01"", ""T004_D02_BW01"", ""T004_D02_M01""]",T004_D02_C01,EXP1_T004_D02_CLEAN,T004_D02,EXP1_T004_D02_C01_E,T004_D02_M01,EXP1_T004_D02_C01,1655,EXP1_T004_D02_C01_UC
T004_D02_ASET01,user_task_12,T004_D02_BM01,T004_D02_BW01,"[""T004_D02_BW01"", ""T004_D02_M01"", ""T004_D02_BM01""]",T004_D02_C02,EXP1_T004_D02_CLEAN,T004_D02,EXP1_T004_D02_C02_E,T004_D02_M01,EXP1_T004_D02_C02,1656,EXP1_T004_D02_C02_UC
T004_D02_ASET01,user_task_12,T004_D02_BM01,T004_D02_BW01,"[""T004_D02_M01"", ""T004_D02_BM01"", ""T004_D02_BW01""]",T004_D02_C03,EXP1_T004_D02_CLEAN,T004_D02,EXP1_T004_D02_C03_E,T004_D02_M01,EXP1_T004_D02_C03,1657,EXP1_T004_D02_C03_UC
T004_D03_ASET01,user_task_12,T004_D03_BM01,T004_D03_BW01,"[""T004_D03_BW01"", ""T004_D03_M01"", ""T004_D03_BM01""]",T004_D03_C01,EXP1_T004_D03_CLEAN,T004_D03,EXP1_T004_D03_C01_E,T004_D03_M01,EXP1_T004_D03_C01,1665,EXP1_T004_D03_C01_UC
T004_D03_ASET01,user_task_12,T004_D03_BM01,T004_D03_BW01,"[""T004_D03_M01"", ""T004_D03_BM01"", ""T004_D03_BW01""]",T004_D03_C02,EXP1_T004_D03_CLEAN,T004_D03,EXP1_T004_D03_C02_E,T004_D03_M01,EXP1_T004_D03_C02,1666,EXP1_T004_D03_C02_UC
T004_D03_ASET01,user_task_12,T004_D03_BM01,T004_D03_BW01,"[""T004_D03_BM01"", ""T004_D03_BW01"", ""T004_D03_M01""]",T004_D03_C03,EXP1_T004_D03_CLEAN,T004_D03,EXP1_T004_D03_C03_E,T004_D03_M01,EXP1_T004_D03_C03,1667,EXP1_T004_D03_C03_UC
T005_D01_ASET01,user_task_13,T005_D01_BM01,T005_D01_BW01,"[""T005_D01_BM01"", ""T005_D01_BW01"", ""T005_D01_M01""]",T005_D01_C01,EXP1_T005_D01_CLEAN,T005_D01,EXP1_T005_D01_C01_E,T005_D01_M01,EXP1_T005_D01_C01,1745,EXP1_T005_D01_C01_UC
T005_D01_ASET01,user_task_13,T005_D01_BM01,T005_D01_BW01,"[""T005_D01_BW01"", ""T005_D01_M01"", ""T005_D01_BM01""]",T005_D01_C02,EXP1_T005_D01_CLEAN,T005_D01,EXP1_T005_D01_C02_E,T005_D01_M01,EXP1_T005_D01_C02,1746,EXP1_T005_D01_C02_UC
T005_D01_ASET01,user_task_13,T005_D01_BM01,T005_D01_BW01,"[""T005_D01_M01"", ""T005_D01_BM01"", ""T005_D01_BW01""]",T005_D01_C03,EXP1_T005_D01_CLEAN,T005_D01,EXP1_T005_D01_C03_E,T005_D01_M01,EXP1_T005_D01_C03,1747,EXP1_T005_D01_C03_UC
T005_D02_ASET01,user_task_13,T005_D02_BM01,T005_D02_BW01,"[""T005_D02_BW01"", ""T005_D02_M01"", ""T005_D02_BM01""]",T005_D02_C01,EXP1_T005_D02_CLEAN,T005_D02,EXP1_T005_D02_C01_E,T005_D02_M01,EXP1_T005_D02_C01,1755,EXP1_T005_D02_C01_UC
T005_D02_ASET01,user_task_13,T005_D02_BM01,T005_D02_BW01,"[""T005_D02_M01"", ""T005_D02_BM01"", ""T005_D02_BW01""]",T005_D02_C02,EXP1_T005_D02_CLEAN,T005_D02,EXP1_T005_D02_C02_E,T005_D02_M01,EXP1_T005_D02_C02,1756,EXP1_T005_D02_C02_UC
T005_D02_ASET01,user_task_13,T005_D02_BM01,T005_D02_BW01,"[""T005_D02_BM01"", ""T005_D02_BW01"", ""T005_D02_M01""]",T005_D02_C03,EXP1_T005_D02_CLEAN,T005_D02,EXP1_T005_D02_C03_E,T005_D02_M01,EXP1_T005_D02_C03,1757,EXP1_T005_D02_C03_UC
T005_D03_ASET01,user_task_13,T005_D03_BM01,T005_D03_BW01,"[""T005_D03_M01"", ""T005_D03_BM01"", ""T005_D03_BW01""]",T005_D03_C01,EXP1_T005_D03_CLEAN,T005_D03,EXP1_T005_D03_C01_E,T005_D03_M01,EXP1_T005_D03_C01,1765,EXP1_T005_D03_C01_UC
T005_D03_ASET01,user_task_13,T005_D03_BM01,T005_D03_BW01,"[""T005_D03_BM01"", ""T005_D03_BW01"", ""T005_D03_M01""]",T005_D03_C02,EXP1_T005_D03_CLEAN,T005_D03,EXP1_T005_D03_C02_E,T005_D03_M01,EXP1_T005_D03_C02,1766,EXP1_T005_D03_C02_UC
T005_D03_ASET01,user_task_13,T005_D03_BM01,T005_D03_BW01,"[""T005_D03_BW01"", ""T005_D03_M01"", ""T005_D03_BM01""]",T005_D03_C03,EXP1_T005_D03_CLEAN,T005_D03,EXP1_T005_D03_C03_E,T005_D03_M01,EXP1_T005_D03_C03,1767,EXP1_T005_D03_C03_UC
T006_D01_ASET01,user_task_14,T006_D01_BM01,T006_D01_BW01,"[""T006_D01_BW01"", ""T006_D01_M01"", ""T006_D01_BM01""]",T006_D01_C01,EXP1_T006_D01_CLEAN,T006_D01,EXP1_T006_D01_C01_E,T006_D01_M01,EXP1_T006_D01_C01,1845,EXP1_T006_D01_C01_UC
T006_D01_ASET01,user_task_14,T006_D01_BM01,T006_D01_BW01,"[""T006_D01_M01"", ""T006_D01_BM01"", ""T006_D01_BW01""]",T006_D01_C02,EXP1_T006_D01_CLEAN,T006_D01,EXP1_T006_D01_C02_E,T006_D01_M01,EXP1_T006_D01_C02,1846,EXP1_T006_D01_C02_UC
T006_D01_ASET01,user_task_14,T006_D01_BM01,T006_D01_BW01,"[""T006_D01_BM01"", ""T006_D01_BW01"", ""T006_D01_M01""]",T006_D01_C03,EXP1_T006_D01_CLEAN,T006_D01,EXP1_T006_D01_C03_E,T006_D01_M01,EXP1_T006_D01_C03,1847,EXP1_T006_D01_C03_UC
T006_D02_ASET01,user_task_14,T006_D02_BM01,T006_D02_BW01,"[""T006_D02_M01"", ""T006_D02_BM01"", ""T006_D02_BW01""]",T006_D02_C01,EXP1_T006_D02_CLEAN,T006_D02,EXP1_T006_D02_C01_E,T006_D02_M01,EXP1_T006_D02_C01,1855,EXP1_T006_D02_C01_UC
T006_D02_ASET01,user_task_14,T006_D02_BM01,T006_D02_BW01,"[""T006_D02_BM01"", ""T006_D02_BW01"", ""T006_D02_M01""]",T006_D02_C02,EXP1_T006_D02_CLEAN,T006_D02,EXP1_T006_D02_C02_E,T006_D02_M01,EXP1_T006_D02_C02,1856,EXP1_T006_D02_C02_UC
T006_D02_ASET01,user_task_14,T006_D02_BM01,T006_D02_BW01,"[""T006_D02_BW01"", ""T006_D02_M01"", ""T006_D02_BM01""]",T006_D02_C03,EXP1_T006_D02_CLEAN,T006_D02,EXP1_T006_D02_C03_E,T006_D02_M01,EXP1_T006_D02_C03,1857,EXP1_T006_D02_C03_UC
T006_D03_ASET01,user_task_14,T006_D03_BM01,T006_D03_BW01,"[""T006_D03_BM01"", ""T006_D03_BW01"", ""T006_D03_M01""]",T006_D03_C01,EXP1_T006_D03_CLEAN,T006_D03,EXP1_T006_D03_C01_E,T006_D03_M01,EXP1_T006_D03_C01,1865,EXP1_T006_D03_C01_UC
T006_D03_ASET01,user_task_14,T006_D03_BM01,T006_D03_BW01,"[""T006_D03_BW01"", ""T006_D03_M01"", ""T006_D03_BM01""]",T006_D03_C02,EXP1_T006_D03_CLEAN,T006_D03,EXP1_T006_D03_C02_E,T006_D03_M01,EXP1_T006_D03_C02,1866,EXP1_T006_D03_C02_UC
T006_D03_ASET01,user_task_14,T006_D03_BM01,T006_D03_BW01,"[""T006_D03_M01"", ""T006_D03_BM01"", ""T006_D03_BW01""]",T006_D03_C03,EXP1_T006_D03_CLEAN,T006_D03,EXP1_T006_D03_C03_E,T006_D03_M01,EXP1_T006_D03_C03,1867,EXP1_T006_D03_C03_UC
T007_D01_ASET01,user_task_15,T007_D01_BM01,T007_D01_BW01,"[""T007_D01_M01"", ""T007_D01_BM01"", ""T007_D01_BW01""]",T007_D01_C01,EXP1_T007_D01_CLEAN,T007_D01,EXP1_T007_D01_C01_E,T007_D01_M01,EXP1_T007_D01_C01,1945,EXP1_T007_D01_C01_UC
T007_D01_ASET01,user_task_15,T007_D01_BM01,T007_D01_BW01,"[""T007_D01_BM01"", ""T007_D01_BW01"", ""T007_D01_M01""]",T007_D01_C02,EXP1_T007_D01_CLEAN,T007_D01,EXP1_T007_D01_C02_E,T007_D01_M01,EXP1_T007_D01_C02,1946,EXP1_T007_D01_C02_UC
T007_D01_ASET01,user_task_15,T007_D01_BM01,T007_D01_BW01,"[""T007_D01_BW01"", ""T007_D01_M01"", ""T007_D01_BM01""]",T007_D01_C03,EXP1_T007_D01_CLEAN,T007_D01,EXP1_T007_D01_C03_E,T007_D01_M01,EXP1_T007_D01_C03,1947,EXP1_T007_D01_C03_UC
T007_D02_ASET01,user_task_15,T007_D02_BM01,T007_D02_BW01,"[""T007_D02_BM01"", ""T007_D02_BW01"", ""T007_D02_M01""]",T007_D02_C01,EXP1_T007_D02_CLEAN,T007_D02,EXP1_T007_D02_C01_E,T007_D02_M01,EXP1_T007_D02_C01,1955,EXP1_T007_D02_C01_UC
T007_D02_ASET01,user_task_15,T007_D02_BM01,T007_D02_BW01,"[""T007_D02_BW01"", ""T007_D02_M01"", ""T007_D02_BM01""]",T007_D02_C02,EXP1_T007_D02_CLEAN,T007_D02,EXP1_T007_D02_C02_E,T007_D02_M01,EXP1_T007_D02_C02,1956,EXP1_T007_D02_C02_UC
T007_D02_ASET01,user_task_15,T007_D02_BM01,T007_D02_BW01,"[""T007_D02_M01"", ""T007_D02_BM01"", ""T007_D02_BW01""]",T007_D02_C03,EXP1_T007_D02_CLEAN,T007_D02,EXP1_T007_D02_C03_E,T007_D02_M01,EXP1_T007_D02_C03,1957,EXP1_T007_D02_C03_UC
T007_D03_ASET01,user_task_15,T007_D03_BM01,T007_D03_BW01,"[""T007_D03_BW01"", ""T007_D03_M01"", ""T007_D03_BM01""]",T007_D03_C01,EXP1_T007_D03_CLEAN,T007_D03,EXP1_T007_D03_C01_E,T007_D03_M01,EXP1_T007_D03_C01,1965,EXP1_T007_D03_C01_UC
T007_D03_ASET01,user_task_15,T007_D03_BM01,T007_D03_BW01,"[""T007_D03_M01"", ""T007_D03_BM01"", ""T007_D03_BW01""]",T007_D03_C02,EXP1_T007_D03_CLEAN,T007_D03,EXP1_T007_D03_C02_E,T007_D03_M01,EXP1_T007_D03_C02,1966,EXP1_T007_D03_C02_UC
T007_D03_ASET01,user_task_15,T007_D03_BM01,T007_D03_BW01,"[""T007_D03_BM01"", ""T007_D03_BW01"", ""T007_D03_M01""]",T007_D03_C03,EXP1_T007_D03_CLEAN,T007_D03,EXP1_T007_D03_C03_E,T007_D03_M01,EXP1_T007_D03_C03,1967,EXP1_T007_D03_C03_UC
T008_D01_ASET01,user_task_16,T008_D01_BM01,T008_D01_BW01,"[""T008_D01_BM01"", ""T008_D01_BW01"", ""T008_D01_M01""]",T008_D01_C01,EXP1_T008_D01_CLEAN,T008_D01,EXP1_T008_D01_C01_E,T008_D01_M01,EXP1_T008_D01_C01,2045,EXP1_T008_D01_C01_UC
T008_D01_ASET01,user_task_16,T008_D01_BM01,T008_D01_BW01,"[""T008_D01_BW01"", ""T008_D01_M01"", ""T008_D01_BM01""]",T008_D01_C02,EXP1_T008_D01_CLEAN,T008_D01,EXP1_T008_D01_C02_E,T008_D01_M01,EXP1_T008_D01_C02,2046,EXP1_T008_D01_C02_UC
T008_D01_ASET01,user_task_16,T008_D01_BM01,T008_D01_BW01,"[""T008_D01_M01"", ""T008_D01_BM01"", ""T008_D01_BW01""]",T008_D01_C03,EXP1_T008_D01_CLEAN,T008_D01,EXP1_T008_D01_C03_E,T008_D01_M01,EXP1_T008_D01_C03,2047,EXP1_T008_D01_C03_UC
T008_D02_ASET01,user_task_16,T008_D02_BM01,T008_D02_BW01,"[""T008_D02_BW01"", ""T008_D02_M01"", ""T008_D02_BM01""]",T008_D02_C01,EXP1_T008_D02_CLEAN,T008_D02,EXP1_T008_D02_C01_E,T008_D02_M01,EXP1_T008_D02_C01,2055,EXP1_T008_D02_C01_UC
T008_D02_ASET01,user_task_16,T008_D02_BM01,T008_D02_BW01,"[""T008_D02_M01"", ""T008_D02_BM01"", ""T008_D02_BW01""]",T008_D02_C02,EXP1_T008_D02_CLEAN,T008_D02,EXP1_T008_D02_C02_E,T008_D02_M01,EXP1_T008_D02_C02,2056,EXP1_T008_D02_C02_UC
T008_D02_ASET01,user_task_16,T008_D02_BM01,T008_D02_BW01,"[""T008_D02_BM01"", ""T008_D02_BW01"", ""T008_D02_M01""]",T008_D02_C03,EXP1_T008_D02_CLEAN,T008_D02,EXP1_T008_D02_C03_E,T008_D02_M01,EXP1_T008_D02_C03,2057,EXP1_T008_D02_C03_UC
T008_D03_ASET01,user_task_16,T008_D03_BM01,T008_D03_BW01,"[""T008_D03_M01"", ""T008_D03_BM01"", ""T008_D03_BW01""]",T008_D03_C01,EXP1_T008_D03_CLEAN,T008_D03,EXP1_T008_D03_C01_E,T008_D03_M01,EXP1_T008_D03_C01,2065,EXP1_T008_D03_C01_UC
T008_D03_ASET01,user_task_16,T008_D03_BM01,T008_D03_BW01,"[""T008_D03_BM01"", ""T008_D03_BW01"", ""T008_D03_M01""]",T008_D03_C02,EXP1_T008_D03_CLEAN,T008_D03,EXP1_T008_D03_C02_E,T008_D03_M01,EXP1_T008_D03_C02,2066,EXP1_T008_D03_C02_UC
T008_D03_ASET01,user_task_16,T008_D03_BM01,T008_D03_BW01,"[""T008_D03_BW01"", ""T008_D03_M01"", ""T008_D03_BM01""]",T008_D03_C03,EXP1_T008_D03_CLEAN,T008_D03,EXP1_T008_D03_C03_E,T008_D03_M01,EXP1_T008_D03_C03,2067,EXP1_T008_D03_C03_UC
T009_D01_ASET01,user_task_17,T009_D01_BM01,T009_D01_BW01,"[""T009_D01_BW01"", ""T009_D01_M01"", ""T009_D01_BM01""]",T009_D01_C01,EXP1_T009_D01_CLEAN,T009_D01,EXP1_T009_D01_C01_E,T009_D01_M01,EXP1_T009_D01_C01,2145,EXP1_T009_D01_C01_UC
