artifact_set_id,base_task_id,benign_matched_id,benign_weak_id,candidate_order,carrier_id,condition,desire_id,embedded_artifact_id,embedded_artifact_type,group_id,malicious_artifact_id,run_id,seed
T003_D02_ASET01,user_task_11,T003_D02_BM01,T003_D02_BW01,"[""T003_D02_BW01"", ""T003_D02_M01"", ""T003_D02_BM01""]",T003_D02_C03,UC_B,T003_D02,T003_D02_BM01,benign_matched,EXP1_T003_D02_C03,T003_D02_M01,EXP1_T003_D02_C03_UCB,1557
T003_D03_ASET01,user_task_11,T003_D03_BM01,T003_D03_BW01,"[""T003_D03_BM01"", ""T003_D03_BW01"", ""T003_D03_M01""]",T003_D03_C01,UC_B,T003_D03,T003_D03_BM01,benign_matched,EXP1_T003_D03_C01,T003_D03_M01,EXP1_T003_D03_C01_UCB,1565
T003_D03_ASET01,user_task_11,T003_D03_BM01,T003_D03_BW01,"[""T003_D03_BW01"", ""T003_D03_M01"", ""T003_D03_BM01""]",T003_D03_C02,UC_B,T003_D03,T003_D03_BM01,benign_matched,EXP1_T003_D03_C02,T003_D03_M01,EXP1_T003_D03_C02_UCB,1566
T003_D03_ASET01,user_task_11,T003_D03_BM01,T003_D03_BW01,"[""T003_D03_M01"", ""T003_D03_BM01"", ""T003_D03_BW01""]",T003_D03_C03,UC_B,T003_D03,T003_D03_BM01,benign_matched,EXP1_T003_D03_C03,T003_D03_M01,EXP1_T003_D03_C03_UCB,1567
T004_D01_ASET01,user_task_12,T004_D01_BM01,T004_D01_BW01,"[""T004_D01_M01"", ""T004_D01_BM01"", ""T004_D01_BW01""]",T004_D01_C01,UC_B,T004_D01,T004_D01_BM01,benign_matched,EXP1_T004_D01_C01,T004_D01_M01,EXP1_T004_D01_C01_UCB,1645
T004_D01_ASET01,user_task_12,T004_D01_BM01,T004_D01_BW01,"[""T004_D01_BM01"", ""T004_D01_BW01"", ""T004_D01_M01""]",T004_D01_C02,UC_B,T004_D01,T004_D01_BM01,benign_matched,EXP1_T004_D01_C02,T004_D01_M01,EXP1_T004_D01_C02_UCB,1646
T004_D01_ASET01,user_task_12,T004_D01_BM01,T004_D01_BW01,"[""T004_D01_BW01"", ""T004_D01_M01"", ""T004_D01_BM01""]",T004_D01_C03,UC_B,T004_D01,T004_D01_BM01,benign_matched,EXP1_T004_D01_C03,T004_D01_M01,EXP1_T004_D01_C03_UCB,1647
T004_D02_ASET01,user_task_12,T004_D02_BM01,T004_D02_BW01,"[""T004_D02_BM01"", ""T004_D02_BW01"", ""T004_D02_M01""]",T004_D02_C01,UC_B,T004_D02,T004_D02_BM01,benign_matched,EXP1_T004_D02_C01,T004_D02_M01,EXP1_T004_D02_C01_UCB,1655
T004_D02_ASET01,user_task_12,T004_D02_BM01,T004_D02_BW01,"[""T004_D02_BW01"", ""T004_D02_M01"", ""T004_D02_BM01""]",T004_D02_C02,UC_B,T004_D02,T004_D02_BM01,benign_matched,EXP1_T004_D02_C02,T004_D02_M01,EXP1_T004_D02_C02_UCB,1656
T004_D02_ASET01,user_task_12,T004_D02_BM01,T004_D02_BW01,"[""T004_D02_M01"", ""T004_D02_BM01"", ""T004_D02_BW01""]",T004_D02_C03,UC_B,T004_D02,T004_D02_BM01,benign_matched,EXP1_T004_D02_C03,T004_D02_M01,EXP1_T004_D02_C03_UCB,1657
T004_D03_ASET01,user_task_12,T004_D03_BM01,T004_D03_BW01,"[""T004_D03_BW01"", ""T004_D03_M01"", ""T004_D03_BM01""]",T004_D03_C01,UC_B,T004_D03,T004_D03_BM01,benign_matched,EXP1_T004_D03_C01,T004_D03_M01,EXP1_T004_D03_C01_UCB,1665
T004_D03_ASET01,user_task_12,T004_D03_BM01,T004_D03_BW01,"[""T004_D03_M01"", ""T004_D03_BM01"", ""T004_D03_BW01""]",T004_D03_C02,UC_B,T004_D03,T004_D03_BM01,benign_matched,EXP1_T004_D03_C02,T004_D03_M01,EXP1_T004_D03_C02_UCB,1666
T004_D03_ASET01,user_task_12,T004_D03_BM01,T004_D03_BW01,"[""T004_D03_BM01"", ""T004_D03_BW01"", ""T004_D03_M01""]",T004_D03_C03,UC_B,T004_D03,T004_D03_BM01,benign_matched,EXP1_T004_D03_C03,T004_D03_M01,EXP1_T004_D03_C03_UCB,1667
T005_D01_ASET01,user_task_13,T005_D01_BM01,T005_D01_BW01,"[""T005_D01_BM01"", ""T005_D01_BW01"", ""T005_D01_M01""]",T005_D01_C01,UC_B,T005_D01,T005_D01_BM01,benign_matched,EXP1_T005_D01_C01,T005_D01_M01,EXP1_T005_D01_C01_UCB,1745
T005_D01_ASET01,user_task_13,T005_D01_BM01,T005_D01_BW01,"[""T005_D01_BW01"", ""T005_D01_M01"", ""T005_D01_BM01""]",T005_D01_C02,UC_B,T005_D01,T005_D01_BM01,benign_matched,EXP1_T005_D01_C02,T005_D01_M01,EXP1_T005_D01_C02_UCB,1746
T005_D01_ASET01,user_task_13,T005_D01_BM01,T005_D01_BW01,"[""T005_D01_M01"", ""T005_D01_BM01"", ""T005_D01_BW01""]",T005_D01_C03,UC_B,T005_D01,T005_D01_BM01,benign_matched,EXP1_T005_D01_C03,T005_D01_M01,EXP1_T005_D01_C03_UCB,1747
T005_D02_ASET01,user_task_13,T005_D02_BM01,T005_D02_BW01,"[""T005_D02_BW01"", ""T005_D02_M01"", ""T005_D02_BM01""]",T005_D02_C01,UC_B,T005_D02,T005_D02_BM01,benign_matched,EXP1_T005_D02_C01,T005_D02_M01,EXP1_T005_D02_C01_UCB,1755
T005_D02_ASET01,user_task_13,T005_D02_BM01,T005_D02_BW01,"[""T005_D02_M01"", ""T005_D02_BM01"", ""T005_D02_BW01""]",T005_D02_C02,UC_B,T005_D02,T005_D02_BM01,benign_matched,EXP1_T005_D02_C02,T005_D02_M01,EXP1_T005_D02_C02_UCB,1756
T005_D02_ASET01,user_task_13,T005_D02_BM01,T005_D02_BW01,"[""T005_D02_BM01"", ""T005_D02_BW01"", ""T005_D02_M01""]",T005_D02_C03,UC_B,T005_D02,T005_D02_BM01,benign_matched,EXP1_T005_D02_C03,T005_D02_M01,EXP1_T005_D02_C03_UCB,1757
T005_D03_ASET01,user_task_13,T005_D03_BM01,T005_D03_BW01,"[""T005_D03_M01"", ""T005_D03_BM01"", ""T005_D03_BW01""]",T005_D03_C01,UC_B,T005_D03,T005_D03_BM01,benign_matched,EXP1_T005_D03_C01,T005_D03_M01,EXP1_T005_D03_C01_UCB,1765
T005_D03_ASET01,user_task_13,T005_D03_BM01,T005_D03_BW01,"[""T005_D03_BM01"", ""T005_D03_BW01"", ""T005_D03_M01""]",T005_D03_C02,UC_B,T005_D03,T005_D03_BM01,benign_matched,EXP1_T005_D03_C02,T005_D03_M01,EXP1_T005_D03_C02_UCB,1766
T005_D03_ASET01,user_task_13,T005_D03_BM01,T005_D03_BW01,"[""T005_D03_BW01"", ""T005_D03_M01"", ""T005_D03_BM01""]",T005_D03_C03,UC_B,T005_D03,T005_D03_BM01,benign_matched,EXP1_T005_D03_C03,T005_D03_M01,EXP1_T005_D03_C03_UCB,1767
T006_D01_ASET01,user_task_14,T006_D01_BM01,T006_D01_BW01,"[""T006_D01_BW01"", ""T006_D01_M01"", ""T006_D01_BM01""]",T006_D01_C01,UC_B,T006_D01,T006_D01_BM01,benign_matched,EXP1_T006_D01_C01,T006_D01_M01,EXP1_T006_D01_C01_UCB,1845
T006_D01_ASET01,user_task_14,T006_D01_BM01,T006_D01_BW01,"[""T006_D01_M01"", ""T006_D01_BM01"", ""T006_D01_BW01""]",T006_D01_C02,UC_B,T006_D01,T006_D01_BM01,benign_matched,EXP1_T006_D01_C02,T006_D01_M01,EXP1_T006_D01_C02_UCB,1846
T006_D01_ASET01,user_task_14,T006_D01_BM01,T006_D01_BW01,"[""T006_D01_BM01"", ""T006_D01_BW01"", ""T006_D01_M01""]",T006_D01_C03,UC_B,T006_D01,T006_D01_BM01,benign_matched,EXP1_T006_D01_C03,T006_D01_M01,EXP1_T006_D01_C03_UCB,1847
T006_D02_ASET01,user_task_14,T006_D02_BM01,T006_D02_BW01,"[""T006_D02_M01"", ""T006_D02_BM01"", ""T006_D02_BW01""]",T006_D02_C01,UC_B,T006_D02,T006_D02_BM01,benign_matched,EXP1_T006_D02_C01,T006_D02_M01,EXP1_T006_D02_C01_UCB,1855
T006_D02_ASET01,user_task_14,T006_D02_BM01,T006_D02_BW01,"[""T006_D02_BM01"", ""T006_D02_BW01"", ""T006_D02_M01""]",T006_D02_C02,UC_B,T006_D02,T006_D02_BM01,benign_matched,EXP1_T006_D02_C02,T006_D02_M01,EXP1_T006_D02_C02_UCB,1856
T006_D02_ASET01,user_task_14,T006_D02_BM01,T006_D02_BW01,"[""T006_D02_BW01"", ""T006_D02_M01"", ""T006_D02_BM01""]",T006_D02_C03,UC_B,T006_D02,T006_D02_BM01,benign_matched,EXP1_T006_D02_C03,T006_D02_M01,EXP1_T006_D02_C03_UCB,1857
T006_D03_ASET01,user_task_14,T006_D03_BM01,T006_D03_BW01,"[""T006_D03_BM01"", ""T006_D03_BW01"", ""T006_D03_M01""]",T006_D03_C01,UC_B,T006_D03,T006_D03_BM01,benign_matched,EXP1_T006_D03_C01,T006_D03_M01,EXP1_T006_D03_C01_UCB,1865
T006_D03_ASET01,user_task_14,T006_D03_BM01,T006_D03_BW01,"[""T006_D03_BW01"", ""T006_D03_M01"", ""T006_D03_BM01""]",T006_D03_C02,UC_B,T006_D03,T006_D03_BM01,benign_matched,EXP1_T006_D03_C02,T006_D03_M01,EXP1_T006_D03_C02_UCB,1866
T006_D03_ASET01,user_task_14,T006_D03_BM01,T006_D03_BW01,"[""T006_D03_M01"", ""T006_D03_BM01"", ""T006_D03_BW01""]",T006_D03_C03,UC_B,T006_D03,T006_D03_BM01,benign_matched,EXP1_T006_D03_C03,T006_D03_M01,EXP1_T006_D03_C03_UCB,1867
T007_D01_ASET01,user_task_15,T007_D01_BM01,T007_D01_BW01,"[""T007_D01_M01"", ""T007_D01_BM01"", ""T007_D01_BW01""]",T007_D01_C01,UC_B,T007_D01,T007_D01_BM01,benign_matched,EXP1_T007_D01_C01,T007_D01_M01,EXP1_T007_D01_C01_UCB,1945
T007_D01_ASET01,user_task_15,T007_D01_BM01,T007_D01_BW01,"[""T007_D01_BM01"", ""T007_D01_BW01"", ""T007_D01_M01""]",T007_D01_C02,UC_B,T007_D01,T007_D01_BM01,benign_matched,EXP1_T007_D01_C02,T007_D01_M01,EXP1_T007_D01_C02_UCB,1946
T007_D01_ASET01,user_task_15,T007_D01_BM01,T007_D01_BW01,"[""T007_D01_BW01"", ""T007_D01_M01"", ""T007_D01_BM01""]",T007_D01_C03,UC_B,T007_D01,T007_D01_BM01,benign_matched,EXP1_T007_D01_C03,T007_D01_M01,EXP1_T007_D01_C03_UCB,1947
T007_D02_ASET01,user_task_15,T007_D02_BM01,T007_D02_BW01,"[""T007_D02_BM01"", ""T007_D02_BW01"", ""T007_D02_M01""]",T007_D02_C01,UC_B,T007_D02,T007_D02_BM01,benign_matched,EXP1_T007_D02_C01,T007_D02_M01,EXP1_T007_D02_C01_UCB,1955
T007_D02_ASET01,user_task_15,T007_D02_BM01,T007_D02_BW01,"[""T007_D02_BW01"", ""T007_D02_M01"", ""T007_D02_BM01""]",T007_D02_C02,UC_B,T007_D02,T007_D02_BM01,benign_matched,EXP1_T007_D02_C02,T007_D02_M01,EXP1_T007_D02_C02_UCB,1956
T007_D02_ASET01,user_task_15,T007_D02_BM01,T007_D02_BW01,"[""T007_D02_M01"", ""T007_D02_BM01"", ""T007_D02_BW01""]",T007_D02_C03,UC_B,T007_D02,T007_D02_BM01,benign_matched,EXP1_T007_D02_C03,T007_D02_M01,EXP1_T007_D02_C03_UCB,1957
T007_D03_ASET01,user_task_15,T007_D03_BM01,T007_D03_BW01,"[""T007_D03_BW01"", ""T007_D03_M01"", ""T007_D03_BM01""]",T007_D03_C01,UC_B,T007_D03,T007_D03_BM01,benign_matched,EXP1_T007_D03_C01,T007_D03_M01,EXP1_T007_D03_C01_UCB,1965
T007_D03_ASET01,user_task_15,T007_D03_BM01,T007_D03_BW01,"[""T007_D03_M01"", ""T007_D03_BM01"", ""T007_D03_BW01""]",T007_D03_C02,UC_B,T007_D03,T007_D03_BM01,benign_matched,EXP1_T007_D03_C02,T007_D03_M01,EXP1_T007_D03_C02_UCB,1966
T007_D03_ASET01,user_task_15,T007_D03_BM01,T007_D03_BW01,"[""T007_D03_BM01"", ""T007_D03_BW01"", ""T007_D03_M01""]",T007_D03_C03,UC_B,T007_D03,T007_D03_BM01,benign_matched,EXP1_T007_D03_C03,T007_D03_M01,EXP1_T007_D03_C03_UCB,1967
T008_D01_ASET01,user_task_16,T008_D01_BM01,T008_D01_BW01,"[""T008_D01_BM01"", ""T008_D01_BW01"", ""T008_D01_M01""]",T008_D01_C01,UC_B,T008_D01,T008_D01_BM01,benign_matched,EXP1_T008_D01_C01,T008_D01_M01,EXP1_T008_D01_C01_UCB,2045
T008_D01_ASET01,user_task_16,T008_D01_BM01,T008_D01_BW01,"[""T008_D01_BW01"", ""T008_D01_M01"", ""T008_D01_BM01""]",T008_D01_C02,UC_B,T008_D01,T008_D01_BM01,benign_matched,EXP1_T008_D01_C02,T008_D01_M01,EXP1_T008_D01_C02_UCB,2046
T008_D01_ASET01,user_task_16,T008_D01_BM01,T008_D01_BW01,"[""T008_D01_M01"", ""T008_D01_BM01"", ""T008_D01_BW01""]",T008_D01_C03,UC_B,T008_D01,T008_D01_BM01,benign_matched,EXP1_T008_D01_C03,T008_D01_M01,EXP1_T008_D01_C03_UCB,2047
T008_D02_ASET01,user_task_16,T008_D02_BM01,T008_D02_BW01,"[""T008_D02_BW01"", ""T008_D02_M01"", ""T008_D02_BM01""]",T008_D02_C01,UC_B,T008_D02,T008_D02_BM01,benign_matched,EXP1_T008_D02_C01,T008_D02_M01,EXP1_T008_D02_C01_UCB,2055
T008_D02_ASET01,user_task_16,T008_D02_BM01,T008_D02_BW01,"[""T008_D02_M01"", ""T008_D02_BM01"", ""T008_D02_BW01""]",T008_D02_C02,UC_B,T008_D02,T008_D02_BM01,benign_matched,EXP1_T008_D02_C02,T008_D02_M01,EXP1_T008_D02_C02_UCB,2056
T008_D02_ASET01,user_task_16,T008_D02_BM01,T008_D02_BW01,"[""T008_D02_BM01"", ""T008_D02_BW01"", ""T008_D02_M01""]",T008_D02_C03,UC_B,T008_D02,T008_D02_BM01,benign_matched,EXP1_T008_D02_C03,T008_D02_M01,EXP1_T008_D02_C03_UCB,2057
T008_D03_ASET01,user_task_16,T008_D03_BM01,T008_D03_BW01,"[""T008_D03_M01"", ""T008_D03_BM01"", ""T008_D03_BW01""]",T008_D03_C01,UC_B,T008_D03,T008_D03_BM01,benign_matched,EXP1_T008_D03_C01,T008_D03_M01,EXP1_T008_D03_C01_UCB,2065
T008_D03_ASET01,user_task_16,T008_D03_BM01,T008_D03_BW01,"[""T008_D03_BM01"", ""T008_D03_BW01"", ""T008_D03_M01""]",T008_D03_C02,UC_B,T008_D03,T008_D03_BM01,benign_matched,EXP1_T008_D03_C02,T008_D03_M01,EXP1_T008_D03_C02_UCB,2066
T008_D03_ASET01,user_task_16,T008_D03_BM01,T008_D03_BW01,"[""T008_D03_BW01"", ""T008_D03_M01"", ""T008_D03_BM01""]",T008_D03_C03,UC_B,T008_D03,T008_D03_BM01,benign_matched,EXP1_T008_D03_C03,T008_D03_M01,EXP1_T008_D03_C03_UCB,2067
T009_D01_ASET01,user_task_17,T009_D01_BM01,T009_D01_BW01,"[""T009_D01_BW01"", ""T009_D01_M01"", ""T009_D01_BM01""]",T009_D01_C01,UC_B,T009_D01,T009_D01_BM01,benign_matched,EXP1_T009_D01_C01,T009_D01_M01,EXP1_T009_D01_C01_UCB,2145
T009_D01_ASET01,user_task_17,T009_D01_BM01,T009_D01_BW01,"[""T009_D01_M01"", ""T009_D01_BM01"", ""T009_D01_BW01""]",T009_D01_C02,UC_B,T009_D01,T009_D01_BM01,benign_matched,EXP1_T009_D01_C02,T009_D01_M01,EXP1_T009_D01_C02_UCB,2146
T009_D01_ASET01,user_task_17,T009_D01_BM01,T009_D01_BW01,"[""T009_D01_BM01"", ""T009_D01_BW01"", ""T009_D01_M01""]",T009_D01_C03,UC_B,T009_D01,T009_D01_BM01,benign_matched,EXP1_T009_D01_C03,T009_D01_M01,EXP1_T009_D01_C03_UCB,2147
T009_D02_ASET01,user_task_17,T009_D02_BM01,T009_D02_BW01,"[""T009_D02_M01"", ""T009_D02_BM01"", ""T009_D02_BW01""]",T009_D02_C01,UC_B,T009_D02,T009_D02_BM01,benign_matched,EXP1_T009_D02_C01,T009_D02_M01,EXP1_T009_D02_C01_UCB,2155
T009_D02_ASET01,user_task_17,T009_D02_BM01,T009_D02_BW01,"[""T009_D02_BM01"", ""T009_D02_BW01"", ""T009_D02_M01""]",T009_D02_C02,UC_B,T009_D02,T009_D02_BM01,benign_matched,EXP1_T009_D02_C02,T009_D02_M01,EXP1_T009_D02_C02_UCB,2156
T009_D02_ASET01,user_task_17,T009_D02_BM01,T009_D02_BW01,"[""T009_D02_BW01"", ""T009_D02_M01"", ""T009_D02_BM01""]",T009_D02_C03,UC_B,T009_D02,T009_D02_BM01,benign_matched,EXP1_T009_D02_C03,T009_D02_M01,EXP1_T009_D02_C03_UCB,2157
T009_D03_ASET01,user_task_17,T009_D03_BM01,T009_D03_BW01,"[""T009_D03_BM01"", ""T009_D03_BW01"", ""T009_D03_M01""]",T009_D03_C01,UC_B,T009_D03,T009_D03_BM01,benign_matched,EXP1_T009_D03_C01,T009_D03_M01,EXP1_T009_D03_C01_UCB,2165
